package_id,seq_in_package,task_id,phase,department,district,path,depends_on,status,priority,definition_of_done
PKG_12,1,STR-03_Cordillera-San_Bernardino,estrutura,03_Cordillera,San_Bernardino,Departamentos/03_Cordillera/San_Bernardino,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,2,STR-04_Guaira-Villarrica,estrutura,04_Guaira,Villarrica,Departamentos/04_Guaira/Villarrica,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,3,STR-05_Caaguazu-Tembiapora,estrutura,05_Caaguazu,Tembiapora,Departamentos/05_Caaguazu/Tembiapora,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,4,STR-07_Itapua-Carlos_Antonio_Lopez,estrutura,07_Itapua,Carlos_Antonio_Lopez,Departamentos/07_Itapua/Carlos_Antonio_Lopez,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,5,STR-07_Itapua-San_Rafael_del_Parana,estrutura,07_Itapua,San_Rafael_del_Parana,Departamentos/07_Itapua/San_Rafael_del_Parana,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,6,STR-09_Paraguari-La_Colmena,estrutura,09_Paraguari,La_Colmena,Departamentos/09_Paraguari/La_Colmena,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,7,STR-10_Alto_Parana-Los_Cedrales,estrutura,10_Alto_Parana,Los_Cedrales,Departamentos/10_Alto_Parana/Los_Cedrales,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,8,STR-11_Central-J_Augusto_Saldivar,estrutura,11_Central,J_Augusto_Saldivar,Departamentos/11_Central/J_Augusto_Saldivar,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,9,STR-12_Neembucu-Laureles,estrutura,12_Neembucu,Laureles,Departamentos/12_Neembucu/Laureles,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,10,STR-14_Canindeyu-La_Paloma,estrutura,14_Canindeyu,La_Paloma,Departamentos/14_Canindeyu/La_Paloma,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,11,STR-15_Presidente_Hayes-Villa_Hayes,estrutura,15_Presidente_Hayes,Villa_Hayes,Departamentos/15_Presidente_Hayes/Villa_Hayes,,done,P1,Criar pasta do distrito e arquivos DADOS.md e MEDIA.md com cabecalho padrao
PKG_12,12,RES-01_Concepcion-San_Carlos_del_Apa,pesquisa,01_Concepcion,San_Carlos_del_Apa,Departamentos/01_Concepcion/San_Carlos_del_Apa,STR-01_Concepcion-San_Carlos_del_Apa,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,13,RES-02_San_Pedro-Santa_Rosa_del_Aguaray,pesquisa,02_San_Pedro,Santa_Rosa_del_Aguaray,Departamentos/02_San_Pedro/Santa_Rosa_del_Aguaray,STR-02_San_Pedro-Santa_Rosa_del_Aguaray,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,14,RES-03_Cordillera-San_Bernardino,pesquisa,03_Cordillera,San_Bernardino,Departamentos/03_Cordillera/San_Bernardino,STR-03_Cordillera-San_Bernardino,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,15,RES-04_Guaira-Tebicuary,pesquisa,04_Guaira,Tebicuary,Departamentos/04_Guaira/Tebicuary,STR-04_Guaira-Tebicuary,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,16,RES-05_Caaguazu-Simon_Bolivar,pesquisa,05_Caaguazu,Simon_Bolivar,Departamentos/05_Caaguazu/Simon_Bolivar,STR-05_Caaguazu-Simon_Bolivar,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,17,RES-07_Itapua-Capitan_Miranda,pesquisa,07_Itapua,Capitan_Miranda,Departamentos/07_Itapua/Capitan_Miranda,STR-07_Itapua-Capitan_Miranda,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,18,RES-07_Itapua-San_Juan_del_Parana,pesquisa,07_Itapua,San_Juan_del_Parana,Departamentos/07_Itapua/San_Juan_del_Parana,STR-07_Itapua-San_Juan_del_Parana,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,19,RES-09_Paraguari-Escobar,pesquisa,09_Paraguari,Escobar,Departamentos/09_Paraguari/Escobar,STR-09_Paraguari-Escobar,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,20,RES-10_Alto_Parana-Juan_Emilio_OLeary,pesquisa,10_Alto_Parana,Juan_Emilio_OLeary,Departamentos/10_Alto_Parana/Juan_Emilio_OLeary,STR-10_Alto_Parana-Juan_Emilio_OLeary,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,21,RES-11_Central-Ita,pesquisa,11_Central,Ita,Departamentos/11_Central/Ita,STR-11_Central-Ita,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,22,RES-12_Neembucu-Humaita,pesquisa,12_Neembucu,Humaita,Departamentos/12_Neembucu/Humaita,STR-12_Neembucu-Humaita,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,23,RES-14_Canindeyu-Itanara,pesquisa,14_Canindeyu,Itanara,Departamentos/14_Canindeyu/Itanara,STR-14_Canindeyu-Itanara,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
PKG_12,24,RES-15_Presidente_Hayes-Teniente_Esteban_Martinez,pesquisa,15_Presidente_Hayes,Teniente_Esteban_Martinez,Departamentos/15_Presidente_Hayes/Teniente_Esteban_Martinez,STR-15_Presidente_Hayes-Teniente_Esteban_Martinez,done,P1,Coletar fontes oficiais com data e URL para geografia populacao riscos recursos seguranca e leis
