Distrito;Total;Sexo - Hombres;Sexo - Mujeres;Edad mediana
    Total;763.702;384.226;379.476;28
        Ciudad del Este;325.819;162.914;162.905;28
        Presidente Franco;88.744;44.232;44.512;28
        Domingo Martinez de Irala;5.035;2.579;2.456;27
        Dr. Juan Leon Mallorquin;16.144;8.162;7.982;28
        Hernandarias;83.285;41.317;41.968;28
        Itakyry;27.340;14.122;13.218;23
        Juan E. Oleary;16.092;8.147;7.945;29
        Nacunday;6.468;3.394;3.074;24
        Yguazu;8.131;4.187;3.944;29
        Los Cedrales;7.258;3.769;3.489;28
        Minga Guazu;81.072;41.051;40.021;27
        San Cristobal;8.563;4.433;4.130;27
        Santa Rita;27.249;13.609;13.640;28
        Naranjal;6.608;3.409;3.199;29
        Santa Rosa del Monday;5.923;3.049;2.874;30
        Minga Pora;11.959;6.178;5.781;26
        Mbaracayu;6.406;3.421;2.985;27
        San Alberto;11.162;5.621;5.541;29
        Iruna;3.943;2.062;1.881;29
        Santa Fe del Parana;3.981;2.084;1.897;28
        Tavapy;6.903;3.571;3.332;27
        Dr. Raul Pena;5.617;2.915;2.702;28
