Distrito;Total;Sexo - Hombres;Sexo - Mujeres;Edad mediana
    Total ;206.181;102.293;103.888;27
         Concepcion ;73.360;36.109;37.251;27
         Belen ;10.605;5.344;5.261;28
         Horqueta ;39.548;19.560;19.988;28
         Loreto ;13.580;6.772;6.808;29
         San Carlos del Apa ;856;452;404;28
         San Lazaro ;11.192;5.768;5.424;26
         Yby Yau ;19.468;9.524;9.944;26
         Azote'y ;6.731;3.266;3.465;22
         Sargento Jose Felix Lopez ;6.153;3.159;2.994;24
         San Alfredo ;2.385;1.188;1.197;29
         Paso Barreto ;3.988;1.894;2.094;25
         Arroyito ;8.292;4.257;4.035;28
         Paso Horqueta ;7.646;3.728;3.918;27
         Itacua ;2.377;1.272;1.105;25
