Distrito;Total;Sexo - Hombres;Sexo - Mujeres;Edad mediana
     Total ;139.479;71.157;68.322;29
        Caazapa ;23.654;11.812;11.842;31
        Abai ;21.964;11.331;10.633;26
        Buena Vista ;4.296;2.237;2.059;32
        Dr. Moises S. Bertoni ;3.815;1.934;1.881;29
        Gral. Higinio Morinigo ;4.728;2.444;2.284;32
        Maciel ;3.461;1.891;1.570;34
        San Juan Nepomuceno ;28.233;14.319;13.914;28
        Tavai ;16.409;8.571;7.838;25
        Yegros ;5.072;2.582;2.490;36
        Yuty ;14.924;7.403;7.521;31
        3 de Mayo ;12.923;6.633;6.290;28
