Distrito;Total;Sexo - Hombres;Sexo - Mujeres;Edad mediana
    Total;268.037;137.118;130.919;31
        Caacupe;50.409;25.023;25.386;30
        Altos;14.641;7.470;7.171;29
        Arroyos y Esteros;20.347;10.435;9.912;30
        Atyra;15.988;8.110;7.878;30
        Caraguatay;10.143;5.162;4.981;35
        Emboscada;21.182;11.985;9.197;28
        Eusebio Ayala;19.334;9.703;9.631;31
        Isla Pucu;5.304;2.689;2.615;36
        Itacurubi de la Cordillera;8.961;4.401;4.560;33
        Juan de Mena;6.341;3.163;3.178;28
        Loma Grande;3.836;1.947;1.889;30
        Mbocayaty del Yhaguy;3.316;1.714;1.602;36
        Nueva Colombia;4.602;2.392;2.210;31
        Piribebuy;25.758;12.971;12.787;32
        Primero de Marzo;4.997;2.634;2.363;35
        San Bernardino;12.216;6.215;6.001;32
        Santa Elena;4.346;2.186;2.160;34
        Tobati;27.435;14.303;13.132;28
        Valenzuela;5.907;3.066;2.841;34
        San Jose Obrero;2.974;1.549;1.425;38
