Distrito;Total;Sexo - Hombres;Sexo - Mujeres;Edad mediana
    Total;449.642;228.057;221.585;29
        Encarnacion;106.842;52.543;54.299;29
        Bella Vista;10.447;5.324;5.123;29
        Cambyreta;47.717;24.617;23.100;28
        Capitan Meza;9.253;4.837;4.416;29
        Capitan Miranda;9.528;4.854;4.674;31
        Nueva Alborada;4.896;2.569;2.327;32
        Carmen del Parana;6.417;3.210;3.207;31
        Coronel Bogado;17.192;8.561;8.631;31
        Carlos Antonio Lopez;13.792;7.262;6.530;27
        Natalio;14.865;7.536;7.329;30
        Fram;8.357;4.316;4.041;30
        General Artigas;8.623;4.396;4.227;35
        General Delgado;5.695;2.879;2.816;34
        Hohenau;12.809;6.352;6.457;30
        Jesus;5.197;2.624;2.573;30
        Jose Leandro Oviedo;2.417;1.235;1.182;36
        Obligado;13.606;6.884;6.722;29
        Mayor Julio Dionisio Otano;10.101;5.243;4.858;26
        San Cosme y Damian;7.397;3.841;3.556;29
        San Pedro del Parana;22.318;11.372;10.946;32
        San Rafael del Parana;14.166;7.294;6.872;27
        Trinidad;7.972;4.055;3.917;28
        Edelira;17.362;8.998;8.364;30
        Tomas Romero Pereira;25.419;12.879;12.540;28
        Alto Vera;11.503;6.115;5.388;25
        La Paz;2.669;1.418;1.251;30
        Yatytay;8.651;4.378;4.273;31
        San Juan del Parana;9.083;4.574;4.509;28
        Pirapo;6.075;3.172;2.903;28
        Itapua Poty;9.273;4.719;4.554;28
