Distrito;Total;Sexo - Hombres;Sexo - Mujeres;Edad mediana
    Total;200.472;100.725;99.747;33
        Paraguari;20.678;9.972;10.706;32
        Acahay;12.646;6.503;6.143;33
        Caapucu;6.045;3.098;2.947;34
        Caballero;4.795;2.485;2.310;37
        Carapegua;29.351;14.676;14.675;35
        Escobar;4.747;2.405;2.342;33
        La Colmena;5.254;2.639;2.615;34
        Mbuyapey;6.838;3.484;3.354;31
        Pirayu;17.419;8.786;8.633;30
        Quiindy;14.488;7.267;7.221;35
        Quyquyho;4.589;2.310;2.279;38
        Roque Gonzalez de Santa Cruz;9.637;4.949;4.688;34
        Sapucai;5.218;2.642;2.576;35
        Tebicuary-mi;3.225;1.696;1.529;33
        Yaguaron;29.242;14.585;14.657;30
        Ybycui;17.972;8.910;9.062;33
        Ybytymi;5.360;2.827;2.533;35
        Maria Antonia;2.968;1.491;1.477;33
