Distrito;Total;Sexo - Hombres;Sexo - Mujeres;Edad mediana
     Total;191.114;97.403;93.711;25
         Salto del Guaira;28.553;14.131;14.422;27
         Corpus Christi;7.739;3.961;3.778;26
         Villa Curuguaty;33.561;16.837;16.724;25
         Villa Ygatimi;13.074;6.735;6.339;24
         Itanara;2.191;1.147;1.044;25
         Ypejhu;8.607;4.445;4.162;23
         Francisco Caballero Alvarez;7.842;4.053;3.789;26
         Katuete;10.774;5.485;5.289;27
         La Paloma del Espiritu Santo;7.284;3.712;3.572;28
         Nueva Esperanza;11.069;5.654;5.415;26
         Yasy Cany;20.399;10.436;9.963;27
         Ybyrarobana;8.468;4.308;4.160;27
         Yby Pyta;12.284;6.346;5.938;23
         Maracana;15.357;8.028;7.329;22
         Puerto Adela;1.326;722;604;28
         Laurel;2.586;1.403;1.183;25
