Distrito;Total;Sexo - Hombres;Sexo - Mujeres;Edad mediana
    Total;431.519;218.731;212.788;28
        Coronel Oviedo;98.323;49.119;49.204;30
        Caaguazu;98.200;49.671;48.529;29
        Carayao;10.832;5.576;5.256;31
        Dr. Cecilio Baez;4.812;2.403;2.409;30
        Santa Rosa del Mbutuy;8.467;4.257;4.210;30
        Dr. Juan Manuel Frutos;20.451;10.416;10.035;28
        Repatriacion;24.459;12.490;11.969;28
        Nueva Londres;3.594;1.767;1.827;34
        San Joaquin;11.949;6.254;5.695;28
        San Jose de los Arroyos;13.926;6.912;7.014;33
        Yhu;22.524;11.541;10.983;26
        Dr. J. Eulogio Estigarribia;38.894;19.895;18.999;24
        R.I. 3 Corrales;6.021;3.079;2.942;30
        Raul Arsenio Oviedo;12.543;6.489;6.054;26
        Jose Domingo Ocampos;7.459;3.722;3.737;28
        Mariscal Francisco Solano Lopez;5.338;2.797;2.541;25
        La Pastora;3.294;1.703;1.591;35
        3 de Febrero;7.492;3.834;3.658;32
        Simon Bolivar;4.740;2.406;2.334;30
        Vaqueria;10.498;5.295;5.203;26
        Tembiapora;12.877;6.622;6.255;23
        Nueva Toledo;4.826;2.483;2.343;23
