package_id,seq_in_package,task_id,wave,phase,scope_level,department,district,path,depends_on,status,priority,agent_role,definition_of_done
EQ_PKG_15,1,E2-MODEL-09_Paraguari-Paraguari,E2,calibracao_notas_AE,distrito,09_Paraguari,Paraguari,Departamentos/09_Paraguari/Paraguari,E1-QA-09_Paraguari-Paraguari,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
EQ_PKG_15,2,E2-GSS-09_Paraguari-Paraguari,E2,gss_reproduzivel,distrito,09_Paraguari,Paraguari,Departamentos/09_Paraguari/Paraguari,E2-MODEL-09_Paraguari-Paraguari,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
EQ_PKG_15,3,E2-SENS-09_Paraguari-Paraguari,E2,sensibilidade_3_cenarios,distrito,09_Paraguari,Paraguari,Departamentos/09_Paraguari/Paraguari,E2-GSS-09_Paraguari-Paraguari,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
EQ_PKG_15,4,E2-QA-09_Paraguari-Paraguari,E2,qa_modelo,distrito,09_Paraguari,Paraguari,Departamentos/09_Paraguari/Paraguari,E2-SENS-09_Paraguari-Paraguari,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
EQ_PKG_15,5,E3-MIDIA-09_Paraguari-Paraguari,E3,midia_tecnica_local,distrito,09_Paraguari,Paraguari,Departamentos/09_Paraguari/Paraguari,E2-QA-09_Paraguari-Paraguari,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
EQ_PKG_15,6,E3-QA-09_Paraguari-Paraguari,E3,qa_midia,distrito,09_Paraguari,Paraguari,Departamentos/09_Paraguari/Paraguari,E3-MIDIA-09_Paraguari-Paraguari,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
EQ_PKG_15,7,E4-TEXTO-09_Paraguari-Paraguari,E4,redacao_profunda_distrital,distrito,09_Paraguari,Paraguari,Departamentos/09_Paraguari/Paraguari,E3-QA-09_Paraguari-Paraguari,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
EQ_PKG_15,8,E4-QA-09_Paraguari-Paraguari,E4,qa_editorial_distrital,distrito,09_Paraguari,Paraguari,Departamentos/09_Paraguari/Paraguari,E4-TEXTO-09_Paraguari-Paraguari,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
EQ_PKG_15,9,E1-CIT-09_Paraguari-Pirayu,E1,citacao_linha_a_linha,distrito,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
EQ_PKG_15,10,E1-INDIC-09_Paraguari-Pirayu,E1,indicadores_oficiais_granulares,distrito,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,E1-CIT-09_Paraguari-Pirayu,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
EQ_PKG_15,11,E1-QA-09_Paraguari-Pirayu,E1,qa_evidencia,distrito,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,E1-INDIC-09_Paraguari-Pirayu,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
EQ_PKG_15,12,E2-MODEL-09_Paraguari-Pirayu,E2,calibracao_notas_AE,distrito,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,E1-QA-09_Paraguari-Pirayu,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
EQ_PKG_15,13,E2-GSS-09_Paraguari-Pirayu,E2,gss_reproduzivel,distrito,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,E2-MODEL-09_Paraguari-Pirayu,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
EQ_PKG_15,14,E2-SENS-09_Paraguari-Pirayu,E2,sensibilidade_3_cenarios,distrito,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,E2-GSS-09_Paraguari-Pirayu,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
EQ_PKG_15,15,E2-QA-09_Paraguari-Pirayu,E2,qa_modelo,distrito,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,E2-SENS-09_Paraguari-Pirayu,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
EQ_PKG_15,16,E3-MIDIA-09_Paraguari-Pirayu,E3,midia_tecnica_local,distrito,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,E2-QA-09_Paraguari-Pirayu,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
EQ_PKG_15,17,E3-QA-09_Paraguari-Pirayu,E3,qa_midia,distrito,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,E3-MIDIA-09_Paraguari-Pirayu,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
EQ_PKG_15,18,E4-TEXTO-09_Paraguari-Pirayu,E4,redacao_profunda_distrital,distrito,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,E3-QA-09_Paraguari-Pirayu,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
EQ_PKG_15,19,E4-QA-09_Paraguari-Pirayu,E4,qa_editorial_distrital,distrito,09_Paraguari,Pirayu,Departamentos/09_Paraguari/Pirayu,E4-TEXTO-09_Paraguari-Pirayu,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
EQ_PKG_15,20,E1-CIT-09_Paraguari-Quiindy,E1,citacao_linha_a_linha,distrito,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,,done,P1,agente_pesquisa,">=12 afirmacoes criticas com fonte oficial, data da fonte e data de acesso."
EQ_PKG_15,21,E1-INDIC-09_Paraguari-Quiindy,E1,indicadores_oficiais_granulares,distrito,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,E1-CIT-09_Paraguari-Quiindy,done,P1,agente_dados,"Indicadores distritais oficiais preenchidos com unidade, periodo e link da serie."
EQ_PKG_15,22,E1-QA-09_Paraguari-Quiindy,E1,qa_evidencia,distrito,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,E1-INDIC-09_Paraguari-Quiindy,done,P1,agente_qa,"Sem placeholders, sem proxy nao justificado, citacao validada."
EQ_PKG_15,23,E2-MODEL-09_Paraguari-Quiindy,E2,calibracao_notas_AE,distrito,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,E1-QA-09_Paraguari-Quiindy,done,P1,agente_metodo,Notas A-E justificadas por regras quantitativas publicadas no dossie.
EQ_PKG_15,24,E2-GSS-09_Paraguari-Quiindy,E2,gss_reproduzivel,distrito,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,E2-MODEL-09_Paraguari-Quiindy,done,P1,agente_metodo,GSS recalculado e reproduzivel (mesma entrada -> mesmo resultado).
EQ_PKG_15,25,E2-SENS-09_Paraguari-Quiindy,E2,sensibilidade_3_cenarios,distrito,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,E2-GSS-09_Paraguari-Quiindy,done,P2,agente_risco,Cenarios otimista/base/conservador com impacto no ranking local.
EQ_PKG_15,26,E2-QA-09_Paraguari-Quiindy,E2,qa_modelo,distrito,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,E2-SENS-09_Paraguari-Quiindy,done,P1,agente_qa,Modelo auditavel e consistente com evidencias oficiais.
EQ_PKG_15,27,E3-MIDIA-09_Paraguari-Quiindy,E3,midia_tecnica_local,distrito,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,E2-QA-09_Paraguari-Quiindy,done,P2,agente_midia,"3 ativos tecnicos locais (mapa/risco/infra) com origem, data e licenca."
EQ_PKG_15,28,E3-QA-09_Paraguari-Quiindy,E3,qa_midia,distrito,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,E3-MIDIA-09_Paraguari-Quiindy,done,P2,agente_qa,Mídia coerente com texto e em qualidade suficiente para publicacao.
EQ_PKG_15,29,E4-TEXTO-09_Paraguari-Quiindy,E4,redacao_profunda_distrital,distrito,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,E3-QA-09_Paraguari-Quiindy,done,P1,agente_editorial,"Narrativa robusta com trade-offs, recomendacao e pre-condicoes de decisao."
EQ_PKG_15,30,E4-QA-09_Paraguari-Quiindy,E4,qa_editorial_distrital,distrito,09_Paraguari,Quiindy,Departamentos/09_Paraguari/Quiindy,E4-TEXTO-09_Paraguari-Quiindy,done,P1,agente_qa,"Texto coerente com dados, sem contradicoes, pronto para compilacao."
