package_id,seq_in_package,task_id,phase,scope_level,department,district,path,depends_on,status,priority,agent_role,definition_of_done
LIV_PKG_18,1,LIV-F1-DADOS-02_San_Pedro-Chore,coleta_fontes_distrito,distrito,02_San_Pedro,Chore,Departamentos/02_San_Pedro/Chore,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_18,2,LIV-F1-DADOS-03_Cordillera-Nueva_Colombia,coleta_fontes_distrito,distrito,03_Cordillera,Nueva_Colombia,Departamentos/03_Cordillera/Nueva_Colombia,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_18,3,LIV-F1-DADOS-05_Caaguazu-Doctor_Eulogio_Estigarribia,coleta_fontes_distrito,distrito,05_Caaguazu,Doctor_Eulogio_Estigarribia,Departamentos/05_Caaguazu/Doctor_Eulogio_Estigarribia,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_18,4,LIV-F1-DADOS-07_Itapua-Bella_Vista,coleta_fontes_distrito,distrito,07_Itapua,Bella_Vista,Departamentos/07_Itapua/Bella_Vista,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_18,5,LIV-F1-DADOS-08_Misiones-San_Ignacio,coleta_fontes_distrito,distrito,08_Misiones,San_Ignacio,Departamentos/08_Misiones/San_Ignacio,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_18,6,LIV-F1-DADOS-10_Alto_Parana-Hernandarias,coleta_fontes_distrito,distrito,10_Alto_Parana,Hernandarias,Departamentos/10_Alto_Parana/Hernandarias,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_18,7,LIV-F1-DADOS-11_Central-Nemby,coleta_fontes_distrito,distrito,11_Central,Nemby,Departamentos/11_Central/Nemby,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_18,8,LIV-F1-DADOS-14_Canindeyu-Corpus_Christi,coleta_fontes_distrito,distrito,14_Canindeyu,Corpus_Christi,Departamentos/14_Canindeyu/Corpus_Christi,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_18,9,LIV-F1-DADOS-17_Alto_Paraguay-Bahia_Negra,coleta_fontes_distrito,distrito,17_Alto_Paraguay,Bahia_Negra,Departamentos/17_Alto_Paraguay/Bahia_Negra,,done,P1,agente_pesquisa,Consolidar dados específicos por distrito com fonte oficial+data da fonte+data de acesso
LIV_PKG_18,10,LIV-F1-IND-02_San_Pedro-Nueva_Germania,quantificar_indicadores_distrito,distrito,02_San_Pedro,Nueva_Germania,Departamentos/02_San_Pedro/Nueva_Germania,LIV-F1-DADOS-02_San_Pedro-Nueva_Germania,done,P1,agente_dados,Registrar indicadores numéricos mínimos por distrito com unidade e referência temporal
